curriculum,run_seed,trained_steps,checkpoint_kind,group,mean_return,mean_success,mean_length
param,4,350000,mid,training_like,222.42341223859168,0.975,275.875
param,4,450000,mid,training_like,241.75945855354124,0.9875,266.925
param,4,500000,final,training_like,244.08115112786683,0.9624999999999999,264.9125
param,5,100000,mid,training_like,-145.08127535714436,0.48750000000000004,756.075
param,5,200000,mid,training_like,-69.84727954964691,0.0,1000.0
param,5,225000,mid,training_like,69.39065594310146,0.475,787.3374999999999
param,5,325000,mid,training_like,156.8355522029919,0.8250000000000001,586.225
param,5,350000,mid,training_like,222.26809061899564,0.9375,337.55
param,5,450000,mid,training_like,229.33071633254912,0.95,307.4
param,5,500000,final,training_like,237.3398409888111,0.975,252.9
param,6,100000,mid,training_like,-190.34089684930075,0.1,914.4375
param,6,200000,mid,training_like,29.284328405907182,0.4125,921.1624999999999
param,6,225000,mid,training_like,229.64646289534997,0.9125,416.875
param,6,325000,mid,training_like,214.50082588888296,0.8500000000000001,398.5375
param,6,350000,mid,training_like,231.06936443741398,0.9,324.05
param,6,450000,mid,training_like,242.50684134335893,0.975,303.1375
param,6,500000,final,training_like,250.61976964089337,0.9375,311.6875
param,7,100000,mid,training_like,-144.28534420277623,0.18750000000000003,897.0374999999999
param,7,200000,mid,training_like,-74.28812937499134,0.0,1000.0
param,7,225000,mid,training_like,140.65500865432364,0.8875000000000001,622.9125
param,7,325000,mid,training_like,207.6203481232817,0.8875,411.92499999999995
param,7,350000,mid,training_like,212.04899816383067,0.8625,331.325
